doc	ingest_id	quick_signals
DOC__20251226_031541_784200__FACTS_DATES.md	20251226_031541_784200	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031541_866332__FACTS_DATES.md	20251226_031541_866332	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031541_939478__FACTS_DATES.md	20251226_031541_939478	# VFMS v0 Grounded Output **Query:** AUTO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artículo
DOC__20251226_031542_018028__FACTS_DATES.md	20251226_031542_018028	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031542_110057__FACTS_DATES.md	20251226_031542_110057	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031542_171431__FACTS_DATES.md	20251226_031542_171431	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031542_243848__FACTS_DATES.md	20251226_031542_243848	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031542_315425__FACTS_DATES.md	20251226_031542_315425	# VFMS v0 Grounded Output **Query:** AUTO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artículo
DOC__20251226_031542_389499__FACTS_DATES.md	20251226_031542_389499	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031542_480395__FACTS_DATES.md	20251226_031542_480395	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031542_564578__FACTS_DATES.md	20251226_031542_564578	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031542_667661__FACTS_DATES.md	20251226_031542_667661	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031542_763078__FACTS_DATES.md	20251226_031542_763078	# VFMS v0 Grounded Output **Query:** AUTO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artículo
DOC__20251226_031542_857562__FACTS_DATES.md	20251226_031542_857562	# VFMS v0 Grounded Output **Query:** AUTO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artículo
